Name,Price,Rating,Link
Shoe Rack Stackable Assembly Shoe Clothes Organizer-6 Layers,1091,3.8 out of 5,https://www.jumia.co.ke/generic-shoe-rack-stackable-assembly-shoe-clothes-organizer-6-layers-38982977.html
Fashion Men Shoes Sneakers Sport Mountaineering Shoes Water Shoes Outdoor Hiking Shoes,1450,No Ratings,https://www.jumia.co.ke/fashion-men-shoes-sneakers-sport-mountaineering-shoes-water-shoes-outdoor-hiking-shoes-230172576.html
Nunix 5 Layer Shoe Rack Black (Smaller Design) SR5L,600,3.2 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=NU344FD2Y1WG6NAFAMZ-210010464&return=%2Fcatalog%2F%3Fq%3Dshoes%26page%3D1
Fashion Men's Breathable Canvas Shoes Sneakers Male Flat Shoes Gray,6309,5 out of 5,https://www.jumia.co.ke/fashion-mens-breathable-canvas-shoes-sneakers-male-flat-shoes-gray-157475443.html
Fashion Genuine Leather Back To School Shoes - Black,788,3.6 out of 5,https://www.jumia.co.ke/genuine-leather-back-to-school-shoes-fashion-mpg318656.html
Fashion Back To School Shoes Genuine Pure Leather,999,3.7 out of 5,https://www.jumia.co.ke/fashion-back-to-school-shoes-genuine-pure-leather-44012475.html
PORTABLE shoe rack for 10 pairs -black,895,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD4FKBX4NAFAMZ-308569540&return=%2Fcatalog%2F%3Fq%3Dshoes%26page%3D1
HOMMY High Quality 36pair Shoerack,2298,4.1 out of 5,https://www.jumia.co.ke/high-quality-36pair-shoerack-hommy-mpg1089313.html
Nunix SR5L – 5 Layer Shoe Rack – Pink,600,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=NU344FD2A8K92NAFAMZ-210010460&return=%2Fcatalog%2F%3Fq%3Dshoes%26page%3D1
LASA 4 TIER METAL TOWER 20 PAIR SHOE RACK STORAGE ORGANIZER UNIT,1502,4.6 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=LA544FD1WHADSNAFAMZ-222760472&return=%2Fcatalog%2F%3Fq%3Dshoes%26page%3D1
Fashion School Shoes For Boys / Unisex,849,3.9 out of 5,https://www.jumia.co.ke/back-to-school-shoes-quality-genuine-leather-fashion-mpg318868.html
"Rashnik Black 5-tier Shoe Organizer,Rn-7610",1800,3.7 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD3RZOX6NAFAMZ-410506360&return=%2Fcatalog%2F%3Fq%3Dshoes%26page%3D1
Fashion Men's All-match Leather Shoes,2990,3 out of 5,https://www.jumia.co.ke/fashion-mens-all-match-leather-shoes-81687018.html
Portable  Shoe Rack - Black- Recommended,895,3.1 out of 5,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840FD23GAJ5NAFAMZ-203178014&return=%2Fcatalog%2F%3Fq%3Dshoes%26page%3D1
Fashion FANCY Genuine Leather UNISEX Back To School Shoes,989,4.1 out of 5,https://www.jumia.co.ke/fashion-fancy-genuine-leather-unisex-back-to-school-shoes-57426183.html
Fashion Men's Basketball Shoes PU Sports Shoes Running Shoes.,1599,4.3 out of 5,https://www.jumia.co.ke/fashion-mens-basketball-shoes-pu-sports-shoes-running-shoes.-157595934.html
Children's Sneakers Breathable Mesh Shoes,680,4.8 out of 5,https://www.jumia.co.ke/generic-childrens-sneakers-breathable-mesh-shoes-244530998.html
Fashion Men's Basketball Shoes Breathable High Top Stretch Sneakers.,1599,3.8 out of 5,https://www.jumia.co.ke/fashion-mens-basketball-shoes-breathable-high-top-stretch-sneakers.-157595928.html
ASHION 2024 Men's Casual Shoes Big Size  Sneakers 39-48,946,4.1 out of 5,https://www.jumia.co.ke/ashion-2024-mens-casual-shoes-big-size-sneakers-39-48-156414883.html
Fashion Mens Sneakers Shoes Sports Shoes Breathable Running Shoes,1190,3.9 out of 5,https://www.jumia.co.ke/fashion-mens-sneakers-shoes-sports-shoes-breathable-running-shoes-169380939.html
Fashion Mens Sneakers Shoes Sports Shoes Breathable Running Shoes -White,1190,3.9 out of 5,https://www.jumia.co.ke/fashion-mens-sneakers-shoes-sports-shoes-breathable-running-shoes-white-169380794.html
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,1190,3.9 out of 5,https://www.jumia.co.ke/waanzilish-mens-sneakers-shoes-outdoor-hiking-shoes-non-slip-sports-shoes-breathable-blue-85254468.html
Fashion Mens Sneakers Non Slip Lightweight Breathable  Running Shoes,454,3.2 out of 5,https://www.jumia.co.ke/fashion-mens-sneakers-non-slip-lightweight-breathable-running-shoes-192453770.html
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,491,3.2 out of 5,https://www.jumia.co.ke/blwoens-fashion-lace-up-sneakers-mens-shoes-black-171397743.html
Fashion Couple Canvas Low Top Lace-up Shoes Classic Casual Sneakers Black,1092,4.2 out of 5,https://www.jumia.co.ke/fashion-couple-canvas-low-top-lace-up-shoes-classic-casual-sneakers-black-154042530.html
Fashion Mens Sneaker Causal Breathable Shoes Light Weight Walking Shoes,1190,4.1 out of 5,https://www.jumia.co.ke/fashion-mens-sneaker-causal-breathable-shoes-light-weight-walking-shoes-169380651.html
ALagzi 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,1693,4.2 out of 5,https://www.jumia.co.ke/alagzi-2024-mens-casual-high-top-shoes-running-sneakers-beige-48872199.html
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,729,3.6 out of 5,https://www.jumia.co.ke/fashion-slipon-shoes-loafers-shoes-canvas-shoes-casual-shoes-mens-sneaker-black-67456421.html
ALagzi Men's Trendy Sneakers - White,1223,3.9 out of 5,https://www.jumia.co.ke/alagzi-mens-trendy-sneakers-white-121322719.html
ALagzi New Young Fashion Trendy Board Shoes - Blue,1447,4 out of 5,https://www.jumia.co.ke/alagzi-new-young-fashion-trendy-board-shoes-blue-162376810.html
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,537,3.1 out of 5,https://www.jumia.co.ke/blwoens-fashion-lace-up-sneakers-mens-shoes-black-171397762.html
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,1000,3.9 out of 5,https://www.jumia.co.ke/fashion-men-shoes-sneakers-skateboarding-shoes-sport-shoes-running-sneakers-casual-shoes-57097994.html
Fashion Men's Classic Casual Board Shoes - White,1364,4 out of 5,https://www.jumia.co.ke/fashion-mens-classic-casual-board-shoes-white-194397467.html
ALagzi Men's Hot Selling Fashion Board Shoes - White Khaki,1265,3.4 out of 5,https://www.jumia.co.ke/alagzi-mens-hot-selling-fashion-board-shoes-white-khaki-169371564.html
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,590,4.2 out of 5,https://www.jumia.co.ke/blwoens-fashion-lace-up-sneakers-mens-shoes-black-260816806.html
Fashion Men's Breathable Sneakers Casual Shoes Non-slip Comfort Sport - Brown,1180,3.8 out of 5,https://www.jumia.co.ke/fashion-mens-breathable-sneakers-casual-shoes-non-slip-comfort-sport-brown-159084721.html
Fashion 2024 Men's Casual Shoes Big Size Sneakers 39-47,1090,3.9 out of 5,https://www.jumia.co.ke/fashion-2024-mens-casual-shoes-big-size-sneakers-39-47-194392795.html
Fashion Men's Fashion Casual Sneakers - White,639,3.7 out of 5,https://www.jumia.co.ke/fashion-mens-fashion-casual-sneakers-white-264456901.html
BLWOENS Fashion Lace Up Sneakers Men's Shoes-Black,537,4.4 out of 5,https://www.jumia.co.ke/blwoens-fashion-lace-up-sneakers-mens-shoes-black-260816839.html
"ASHION Men's Floral Canvas Sneakers - Stylish, Durable, Comfortable Casual Shoes",1265,3.8 out of 5,https://www.jumia.co.ke/ashion-mens-floral-canvas-sneakers-stylish-durable-comfortable-casual-shoes-192458029.html
